date,candidate_area_m2,confirmed_area_m2
2023-11-04,1800.0,1800.0
2023-11-09,1800.0,1800.0
2023-11-14,1800.0,1800.0
2023-11-19,1800.0,1800.0
2023-11-24,1800.0,1800.0
2023-11-29,1800.0,1800.0
2023-12-04,1800.0,1800.0
2023-12-09,1800.0,1800.0
2023-12-14,1800.0,1800.0
2023-12-19,1800.0,1800.0
2023-12-24,1800.0,1800.0
2023-12-29,1800.0,1800.0
2024-01-03,1800.0,1800.0
2024-01-08,1800.0,1800.0
2024-01-13,1800.0,1800.0
2024-01-18,4300.0,1800.0
2024-01-23,1800.0,1800.0
2024-01-28,1800.0,1800.0
2024-02-02,1800.0,1800.0
2024-02-07,1800.0,1800.0
2024-02-12,1800.0,1800.0
2024-02-17,1800.0,1800.0
2024-02-22,1800.0,1800.0
2024-02-27,1800.0,1800.0
2024-03-03,1800.0,1800.0
2024-03-08,1800.0,1800.0
2024-03-13,1800.0,1800.0
2024-03-18,1800.0,1800.0
2024-03-23,1800.0,1800.0
2024-03-28,1800.0,1800.0
2024-04-02,1800.0,1800.0
2024-04-07,1800.0,1800.0
2024-04-12,1800.0,1800.0
2024-04-17,1800.0,1800.0
2024-04-22,1800.0,1800.0
2024-04-27,1800.0,1800.0
2024-05-02,1800.0,1800.0
2024-05-07,2300.0,1800.0
2024-05-12,3200.0,1800.0
2024-05-17,1800.0,1800.0
2024-05-22,3300.0,1800.0
2024-05-27,3000.0,1800.0
2024-06-01,3400.0,1800.0
2024-06-06,1800.0,1800.0
2024-06-11,3400.0,1800.0
2024-06-16,3500.0,1800.0
2024-06-21,3500.0,1800.0
2024-06-26,1800.0,1800.0
2024-07-01,1800.0,1800.0
2024-07-06,1800.0,1800.0
2024-07-11,1800.0,1800.0
2024-07-16,1800.0,1800.0
2024-07-21,1800.0,1800.0
2024-07-26,1800.0,1800.0
2024-07-31,1800.0,1800.0
2024-08-05,1800.0,1800.0
2024-08-10,1800.0,1800.0
2024-08-15,1800.0,1800.0
2024-08-20,1800.0,1800.0
2024-08-25,1800.0,1800.0
2024-08-30,1800.0,1800.0
2024-09-04,1800.0,1800.0
2024-09-14,1800.0,1800.0
2024-09-19,1800.0,1800.0
2024-09-24,1800.0,1800.0
2024-09-29,1800.0,1800.0
2024-10-04,1800.0,1800.0
2024-10-09,1800.0,1800.0
2024-10-14,1800.0,1800.0
2024-10-19,1800.0,1800.0
2024-10-24,1800.0,1800.0
2024-10-29,1800.0,1800.0
2024-11-03,1800.0,1800.0
2024-11-08,1800.0,1800.0
2024-11-13,1800.0,1800.0
2024-11-18,1800.0,1800.0
2024-11-23,1800.0,1800.0
2024-11-28,1800.0,1800.0
2024-12-03,1800.0,1800.0
2024-12-08,1800.0,1800.0
2024-12-13,1800.0,1800.0
2024-12-18,1800.0,1800.0
2024-12-23,1800.0,1800.0
2024-12-28,1800.0,1800.0
